External_Id__c,Campaign:External_Id__c,Contact:External_Id__c,Status,HasResponded,CreatedDate
CMM-000001,CAM-0007,CON-000336,Opened,False,2024-01-23
CMM-000002,CAM-0001,CON-000108,Clicked,True,2025-04-14
CMM-000003,CAM-0001,CON-000443,Sent,False,2024-03-29
CMM-000004,CAM-0004,CON-000474,Clicked,True,2024-02-29
CMM-000005,CAM-0006,CON-001184,Opened,False,2025-08-23
CMM-000006,CAM-0002,CON-000507,Clicked,True,2025-09-07
CMM-000007,CAM-0004,CON-001048,Responded,True,2024-03-25
CMM-000008,CAM-0008,CON-000978,Sent,False,2024-04-26
CMM-000009,CAM-0002,CON-001356,Clicked,True,2025-02-15
CMM-000010,CAM-0007,CON-000814,Clicked,True,2024-08-25
CMM-000011,CAM-0004,CON-000002,Clicked,True,2025-03-15
CMM-000012,CAM-0008,CON-000035,Clicked,True,2025-01-27
CMM-000013,CAM-0006,CON-000920,Opened,False,2025-01-22
CMM-000014,CAM-0006,CON-001225,Responded,True,2025-07-16
CMM-000015,CAM-0006,CON-001136,Opened,False,2024-09-29
CMM-000016,CAM-0001,CON-000752,Registered,True,2025-03-02
CMM-000017,CAM-0002,CON-001497,Opened,False,2024-12-04
CMM-000018,CAM-0001,CON-000694,Opened,False,2024-09-10
CMM-000019,CAM-0006,CON-000544,Sent,False,2024-04-13
CMM-000020,CAM-0008,CON-001454,Sent,False,2024-06-28
CMM-000021,CAM-0006,CON-000307,Opened,False,2024-09-14
CMM-000022,CAM-0008,CON-000197,Responded,True,2024-10-21
CMM-000023,CAM-0008,CON-001478,Sent,False,2025-05-15
CMM-000024,CAM-0006,CON-000006,Clicked,True,2025-08-12
CMM-000025,CAM-0002,CON-001060,Responded,True,2024-09-07
CMM-000026,CAM-0008,CON-000395,Sent,False,2024-04-06
CMM-000027,CAM-0008,CON-000321,Clicked,True,2025-08-16
CMM-000028,CAM-0004,CON-000659,Clicked,True,2025-05-22
CMM-000029,CAM-0007,CON-000360,Opened,False,2024-01-19
CMM-000030,CAM-0004,CON-000509,Opened,False,2024-02-04
CMM-000031,CAM-0007,CON-000545,Sent,False,2024-06-07
CMM-000032,CAM-0001,CON-000506,Sent,False,2024-07-26
CMM-000033,CAM-0001,CON-001186,Opened,False,2024-09-24
CMM-000034,CAM-0005,CON-001440,Sent,False,2024-01-09
CMM-000035,CAM-0008,CON-000454,Clicked,True,2024-01-10
CMM-000036,CAM-0005,CON-000901,Registered,True,2025-02-04
CMM-000037,CAM-0006,CON-000476,Responded,True,2025-06-16
CMM-000038,CAM-0004,CON-000720,Clicked,True,2025-01-21
CMM-000039,CAM-0006,CON-000441,Responded,True,2025-09-29
CMM-000040,CAM-0007,CON-001326,Sent,False,2024-04-17
CMM-000041,CAM-0004,CON-001464,Responded,True,2025-03-10
