External_Id__c,Subject,Account:External_Id__c,Contact:External_Id__c,Type,Status,Origin,Priority,Reason
CASE-000001,Issue #1,ACC-000489,CON-000683,Equipment,Closed,Phone,Low,Other
CASE-000002,Issue #2,ACC-000092,CON-001065,Electrical,Working,Email,Medium,Network Issue
CASE-000003,Issue #3,ACC-000301,CON-000613,Billing,Closed,Web,Low,Shipment Damaged
CASE-000004,Issue #4,ACC-000068,CON-000382,Installation,New,Web,Medium,Shipment Damaged
CASE-000005,Issue #5,ACC-000303,CON-000248,Connectivity,New,Email,Medium,Network Issue
CASE-000006,Issue #6,ACC-000325,CON-000167,Installation,Working,Email,Low,Performance
CASE-000007,Issue #7,ACC-000046,CON-001049,Equipment,Working,Web,Low,Bug
CASE-000008,Issue #8,ACC-000326,CON-001432,Installation,New,Web,High,Other
CASE-000009,Issue #9,ACC-000407,CON-000497,Equipment,Closed,Web,High,Return
CASE-000010,Issue #10,ACC-000282,CON-000108,Installation,Working,Email,Low,Performance
CASE-000011,Issue #11,ACC-000093,CON-000749,Connectivity,New,Web,Medium,Other
CASE-000012,Issue #12,ACC-000344,CON-000456,Software,Working,Web,Low,Bug
CASE-000013,Issue #13,ACC-000482,CON-001071,Connectivity,New,Web,Low,Network Issue
CASE-000014,Issue #14,ACC-000469,CON-001110,Equipment,New,Web,Medium,Shipment Damaged
CASE-000015,Issue #15,ACC-000092,CON-000011,Equipment,Closed,Email,Low,Performance
CASE-000016,Issue #16,ACC-000296,CON-000234,Billing,New,Email,Medium,Network Issue
CASE-000017,Issue #17,ACC-000028,CON-001480,Billing,Working,Email,Low,Other
CASE-000018,Issue #18,ACC-000298,CON-000552,Software,New,Email,Low,Bug
CASE-000019,Issue #19,ACC-000427,CON-000416,Equipment,Closed,Web,Low,Return
CASE-000020,Issue #20,ACC-000387,CON-000398,Equipment,Closed,Email,High,Performance
CASE-000021,Issue #21,ACC-000043,CON-001343,Connectivity,New,Email,High,Performance
CASE-000022,Issue #22,ACC-000307,CON-001252,Shipping,New,Email,Medium,Return
CASE-000023,Issue #23,ACC-000308,CON-001415,Software,Closed,Web,High,Return
CASE-000024,Issue #24,ACC-000118,CON-001495,Installation,Closed,Email,Medium,Other
CASE-000025,Issue #25,ACC-000388,CON-000749,Billing,Closed,Phone,Medium,Performance
CASE-000026,Issue #26,ACC-000243,CON-000817,Shipping,Closed,Phone,High,Equipment Complexity
CASE-000027,Issue #27,ACC-000328,CON-000578,Billing,Closed,Phone,High,Other
CASE-000028,Issue #28,ACC-000352,CON-000337,Connectivity,Closed,Phone,Low,Bug
CASE-000029,Issue #29,ACC-000262,CON-000464,Shipping,Working,Web,Medium,Bug
CASE-000030,Issue #30,ACC-000429,CON-000623,Electrical,Closed,Web,Medium,Return
CASE-000031,Issue #31,ACC-000310,CON-000493,Electrical,Closed,Email,Low,Network Issue
CASE-000032,Issue #32,ACC-000477,CON-000186,Installation,Working,Phone,Low,Network Issue
CASE-000033,Issue #33,ACC-000140,CON-000003,Electrical,Closed,Phone,High,Equipment Complexity
CASE-000034,Issue #34,ACC-000445,CON-001156,Electrical,Closed,Phone,Low,Bug
CASE-000035,Issue #35,ACC-000325,CON-001039,Software,Closed,Phone,Medium,Performance
CASE-000036,Issue #36,ACC-000311,CON-000473,Equipment,Working,Web,High,Equipment Complexity
CASE-000037,Issue #37,ACC-000265,CON-000781,Equipment,Closed,Web,Medium,Network Issue
CASE-000038,Issue #38,ACC-000357,CON-000262,Software,New,Web,High,Bug
CASE-000039,Issue #39,ACC-000286,CON-001245,Installation,Closed,Web,High,Equipment Complexity
CASE-000040,Issue #40,ACC-000259,CON-000184,Software,Working,Phone,High,Equipment Complexity
CASE-000041,Issue #41,ACC-000462,CON-000182,Software,Working,Email,Medium,Equipment Complexity
CASE-000042,Issue #42,ACC-000044,CON-001396,Electrical,Working,Email,Low,Performance
CASE-000043,Issue #43,ACC-000030,CON-000227,Equipment,New,Phone,Low,Performance
CASE-000044,Issue #44,ACC-000484,CON-001225,Installation,New,Web,Medium,Equipment Complexity
CASE-000045,Issue #45,ACC-000294,CON-000839,Connectivity,Closed,Phone,Medium,Bug
CASE-000046,Issue #46,ACC-000373,CON-000879,Connectivity,Closed,Web,Medium,Performance
CASE-000047,Issue #47,ACC-000126,CON-000934,Connectivity,Closed,Web,Medium,Performance
CASE-000048,Issue #48,ACC-000252,CON-000204,Connectivity,Closed,Web,Medium,Bug
CASE-000049,Issue #49,ACC-000451,CON-001315,Software,Closed,Web,Low,Network Issue
CASE-000050,Issue #50,ACC-000475,CON-000550,Installation,Closed,Email,High,Shipment Damaged
CASE-000051,Issue #51,ACC-000102,CON-000592,Installation,New,Phone,Low,Bug
CASE-000052,Issue #52,ACC-000129,CON-000199,Electrical,New,Web,High,Shipment Damaged
CASE-000053,Issue #53,ACC-000194,CON-000435,Billing,Working,Phone,Low,Performance
CASE-000054,Issue #54,ACC-000186,CON-001211,Billing,Closed,Email,Medium,Equipment Complexity
CASE-000055,Issue #55,ACC-000205,CON-000624,Electrical,Working,Email,Low,Network Issue
CASE-000056,Issue #56,ACC-000427,CON-000853,Software,Closed,Web,Low,Network Issue
CASE-000057,Issue #57,ACC-000225,CON-000065,Electrical,Working,Web,Low,Shipment Damaged
CASE-000058,Issue #58,ACC-000425,CON-000742,Installation,Working,Email,Low,Bug
CASE-000059,Issue #59,ACC-000196,CON-000917,Equipment,Working,Web,Low,Bug
CASE-000060,Issue #60,ACC-000250,CON-000201,Shipping,Closed,Email,Medium,Performance
CASE-000061,Issue #61,ACC-000053,CON-001275,Shipping,Closed,Web,Medium,Network Issue
CASE-000062,Issue #62,ACC-000376,CON-001348,Electrical,Working,Web,Low,Other
CASE-000063,Issue #63,ACC-000469,CON-000835,Equipment,Closed,Web,Medium,Equipment Complexity
CASE-000064,Issue #64,ACC-000484,CON-001280,Shipping,New,Email,Low,Network Issue
CASE-000065,Issue #65,ACC-000220,CON-000823,Electrical,Working,Email,Medium,Other
CASE-000066,Issue #66,ACC-000144,CON-000154,Shipping,Working,Web,Low,Shipment Damaged
CASE-000067,Issue #67,ACC-000102,CON-000466,Billing,Working,Email,Medium,Equipment Complexity
CASE-000068,Issue #68,ACC-000033,CON-001258,Connectivity,Closed,Web,Medium,Bug
CASE-000069,Issue #69,ACC-000060,CON-001425,Shipping,Closed,Phone,Medium,Return
CASE-000070,Issue #70,ACC-000295,CON-000564,Equipment,New,Phone,High,Bug
CASE-000071,Issue #71,ACC-000006,CON-000585,Shipping,Working,Phone,Low,Bug
CASE-000072,Issue #72,ACC-000261,CON-000191,Equipment,Working,Web,Medium,Network Issue
CASE-000073,Issue #73,ACC-000260,CON-000673,Equipment,New,Web,Low,Return
CASE-000074,Issue #74,ACC-000450,CON-000404,Installation,Working,Phone,Medium,Equipment Complexity
CASE-000075,Issue #75,ACC-000354,CON-000705,Billing,Working,Phone,Low,Bug
CASE-000076,Issue #76,ACC-000142,CON-000238,Installation,Working,Web,Medium,Other
CASE-000077,Issue #77,ACC-000028,CON-000157,Billing,New,Phone,High,Performance
CASE-000078,Issue #78,ACC-000427,CON-001253,Electrical,Closed,Web,Low,Bug
CASE-000079,Issue #79,ACC-000348,CON-000965,Connectivity,Working,Phone,Medium,Network Issue
CASE-000080,Issue #80,ACC-000113,CON-001237,Installation,Closed,Phone,High,Return
CASE-000081,Issue #81,ACC-000154,CON-000343,Billing,Working,Phone,Low,Network Issue
CASE-000082,Issue #82,ACC-000131,CON-001107,Electrical,Working,Web,Low,Bug
CASE-000083,Issue #83,ACC-000304,CON-000020,Installation,New,Email,Low,Equipment Complexity
CASE-000084,Issue #84,ACC-000347,CON-000816,Installation,Working,Email,High,Return
CASE-000085,Issue #85,ACC-000311,CON-001454,Shipping,Working,Phone,Medium,Shipment Damaged
CASE-000086,Issue #86,ACC-000012,CON-000754,Equipment,New,Web,Medium,Bug
CASE-000087,Issue #87,ACC-000349,CON-001365,Billing,Working,Web,Medium,Network Issue
CASE-000088,Issue #88,ACC-000430,CON-001052,Billing,Closed,Web,Low,Other
CASE-000089,Issue #89,ACC-000305,CON-000560,Billing,Closed,Web,Low,Shipment Damaged
CASE-000090,Issue #90,ACC-000440,CON-000665,Electrical,New,Phone,High,Bug
CASE-000091,Issue #91,ACC-000271,CON-000140,Installation,New,Phone,High,Return
CASE-000092,Issue #92,ACC-000029,CON-000945,Electrical,New,Web,Medium,Other
CASE-000093,Issue #93,ACC-000245,CON-000205,Installation,Working,Email,Low,Network Issue
CASE-000094,Issue #94,ACC-000333,CON-000351,Installation,Working,Web,Medium,Bug
CASE-000095,Issue #95,ACC-000209,CON-001259,Software,New,Phone,Low,Other
CASE-000096,Issue #96,ACC-000213,CON-000839,Electrical,New,Phone,Low,Network Issue
CASE-000097,Issue #97,ACC-000407,CON-001104,Equipment,New,Email,Low,Equipment Complexity
CASE-000098,Issue #98,ACC-000152,CON-000033,Billing,Working,Email,Low,Performance
CASE-000099,Issue #99,ACC-000026,CON-001077,Installation,Closed,Phone,Low,Return
CASE-000100,Issue #100,ACC-000052,CON-001315,Electrical,Working,Web,Low,Other
CASE-000101,Issue #101,ACC-000143,CON-000182,Installation,Closed,Web,Low,Equipment Complexity
CASE-000102,Issue #102,ACC-000106,CON-001338,Equipment,Working,Web,Medium,Other
CASE-000103,Issue #103,ACC-000055,CON-000039,Connectivity,Working,Web,Low,Network Issue
CASE-000104,Issue #104,ACC-000207,CON-000040,Electrical,New,Email,High,Return
CASE-000105,Issue #105,ACC-000311,CON-000457,Electrical,Closed,Email,Medium,Other
CASE-000106,Issue #106,ACC-000192,CON-000666,Installation,New,Email,Low,Return
CASE-000107,Issue #107,ACC-000045,CON-001408,Electrical,Closed,Email,Medium,Equipment Complexity
CASE-000108,Issue #108,ACC-000394,CON-000759,Connectivity,Working,Phone,Medium,Equipment Complexity
CASE-000109,Issue #109,ACC-000347,CON-001167,Installation,New,Email,High,Performance
CASE-000110,Issue #110,ACC-000117,CON-001429,Connectivity,Closed,Email,Low,Equipment Complexity
CASE-000111,Issue #111,ACC-000108,CON-000049,Shipping,Closed,Email,Medium,Other
CASE-000112,Issue #112,ACC-000206,CON-000741,Installation,New,Email,Low,Bug
CASE-000113,Issue #113,ACC-000011,CON-000490,Electrical,Closed,Email,Low,Other
CASE-000114,Issue #114,ACC-000333,CON-001399,Connectivity,New,Web,Medium,Other
CASE-000115,Issue #115,ACC-000147,CON-000610,Software,Working,Phone,Medium,Bug
CASE-000116,Issue #116,ACC-000359,CON-001132,Connectivity,Working,Email,Medium,Return
CASE-000117,Issue #117,ACC-000420,CON-001269,Electrical,Closed,Phone,Medium,Shipment Damaged
CASE-000118,Issue #118,ACC-000131,CON-001493,Billing,Closed,Email,High,Shipment Damaged
CASE-000119,Issue #119,ACC-000468,CON-001207,Equipment,Working,Web,Medium,Shipment Damaged
CASE-000120,Issue #120,ACC-000445,CON-000065,Equipment,Closed,Email,Medium,Other
CASE-000121,Issue #121,ACC-000050,CON-000458,Installation,Working,Web,Low,Performance
CASE-000122,Issue #122,ACC-000393,CON-000243,Electrical,Working,Email,High,Other
CASE-000123,Issue #123,ACC-000385,CON-000271,Electrical,Closed,Email,Medium,Network Issue
CASE-000124,Issue #124,ACC-000314,CON-000376,Installation,Closed,Web,Medium,Return
CASE-000125,Issue #125,ACC-000286,CON-000337,Equipment,Closed,Email,Medium,Equipment Complexity
CASE-000126,Issue #126,ACC-000429,CON-000002,Installation,Closed,Phone,Low,Shipment Damaged
CASE-000127,Issue #127,ACC-000410,CON-000367,Connectivity,Working,Web,Medium,Return
CASE-000128,Issue #128,ACC-000377,CON-001033,Connectivity,Closed,Email,Low,Shipment Damaged
CASE-000129,Issue #129,ACC-000444,CON-000290,Billing,Closed,Web,Medium,Equipment Complexity
CASE-000130,Issue #130,ACC-000281,CON-001051,Electrical,New,Phone,Medium,Equipment Complexity
CASE-000131,Issue #131,ACC-000469,CON-000367,Installation,Working,Web,Medium,Network Issue
CASE-000132,Issue #132,ACC-000017,CON-001410,Software,Working,Email,Medium,Bug
CASE-000133,Issue #133,ACC-000159,CON-001083,Shipping,Closed,Phone,Medium,Other
CASE-000134,Issue #134,ACC-000117,CON-000689,Connectivity,Closed,Email,High,Performance
CASE-000135,Issue #135,ACC-000051,CON-001037,Billing,Closed,Phone,Low,Equipment Complexity
CASE-000136,Issue #136,ACC-000048,CON-000887,Equipment,Closed,Email,High,Bug
CASE-000137,Issue #137,ACC-000447,CON-000391,Shipping,New,Phone,High,Performance
CASE-000138,Issue #138,ACC-000144,CON-000927,Electrical,Working,Web,Medium,Return
CASE-000139,Issue #139,ACC-000152,CON-000144,Electrical,Working,Phone,High,Shipment Damaged
CASE-000140,Issue #140,ACC-000090,CON-001269,Shipping,New,Email,High,Performance
CASE-000141,Issue #141,ACC-000008,CON-001039,Shipping,New,Phone,Low,Equipment Complexity
